time,temperature,td,temp_max,temp_min,pressure,precip_1h,RH,RH_min,wind_direct_inst,wind_speed_inst,wind_direct_2m,wind_speed_2m,wind_direct_max,wind_speed_max,vis_inst,vis_min,temp_surf,temp_surf_max,temp_surf_min,temp_surf_5,temp_surf_10,temp_surf_15,temp_surf_20,temp_surf_40
2013-9-1 1:00:00,21.7,,22.6,21.7,,0,,,46,1.3,45,1.4,40,4.3,,,,,,,,,,,
2013-9-1 00:00:00,22.5,,22.5,22,,0,,,49,2,42,1.8,35,4.6,,,,,,,,,,,
2013-8-31 23:00:00,22.3,,22.6,22.3,,0,,,46,1.8,38,2.5,46,4.7,,,,,,,,,,,
2013-8-31 22:00:00,22.5,,23,22.5,,0,,,49,1.9,45,2,40,4.7,,,,,,,,,,,
2013-8-31 21:00:00,23,,23.5,23,,0,,,63,2.8,51,2.6,52,5.5,,,,,,,,,,,
2013-8-31 20:00:00,23.5,,24.3,23.4,,0,,,60,2,56,2.7,68,6.5,,,,,,,,,,,
2013-8-31 19:00:00,24.2,,25.3,24.2,,0,,,57,3.6,41,3.7,32,6.7,,,,,,,,,,,
2013-8-31 18:00:00,25.3,,27,25.3,,0,,,40,3.2,58,3.6,57,8.5,,,,,,,,,,,
2013-8-31 17:00:00,26.9,,28.9,26.7,,0,,,49,3.5,32,3.4,4,8,,,,,,,,,,,
2013-8-31 16:00:00,28,,29.6,27.5,,0,,,355,2.9,17,4.4,29,8.8,,,,,,,,,,,
2013-8-31 15:00:00,29,,30.5,27.5,,0,,,38,3.8,21,5.3,26,8.9,,,,,,,,,,,
2013-8-31 14:00:00,29.2,,31.3,29.2,,0,,,32,2.7,15,3.2,353,8.1,,,,,,,,,,,
2013-8-31 13:00:00,30.8,,30.8,28.6,,0,,,40,3.4,29,3.6,7,7.7,,,,,,,,,,,
2013-8-31 12:00:00,29.9,,30,28,,0,,,18,5.1,6,3.7,1,7.4,,,,,,,,,,,
2013-8-31 11:00:00,28.4,,28.9,27,,0,,,38,3.1,24,3,26,6.6,,,,,,,,,,,
2013-8-31 10:00:00,27.1,,27.9,25.6,,0,,,15,1.6,40,3.3,358,5.9,,,,,,,,,,,
2013-8-31 9:00:00,25.9,,26.7,25.9,,0,,,7,1.2,7,2.8,4,6.3,,,,,,,,,,,
2013-8-31 8:00:00,26,,26,22.8,,0,,,23,2.9,1,2.9,12,7.1,,,,,,,,,,,
2013-8-31 7:00:00,22.7,,22.7,22.3,,0,,,344,1.4,342,1.6,336,2.8,,,,,,,,,,,
2013-8-31 6:00:00,22.3,,22.8,22.2,,0,,,322,2.2,332,1.9,333,3.4,,,,,,,,,,,
2013-8-31 5:00:00,22.8,,22.9,22.5,,0,,,324,1.3,335,1.8,330,2.9,,,,,,,,,,,
2013-8-31 4:00:00,22.7,,23.8,22.7,,0,,,32,1.1,32,1.1,35,4.1,,,,,,,,,,,
2013-8-31 3:00:00,23.8,,24.4,23.8,,0,,,40,1.4,41,1.9,7,5.5,,,,,,,,,,,
2013-8-31 2:00:00,24.3,,24.5,24.1,,0,,,52,1,25,2.2,7,5,,,,,,,,,,,
2013-8-31 1:00:00,24.5,,24.9,24.5,,0,,,15,3.3,17,2.2,4,6.3,,,,,,,,,,,
2013-8-31 00:00:00,24.8,,25.1,24.8,,0,,,83,1.4,20,2.1,21,7.5,,,,,,,,,,,
2013-8-30 23:00:00,25.1,,25.6,25.1,,0,,,52,3.9,17,3.1,18,7.6,,,,,,,,,,,
2013-8-30 22:00:00,25.6,,25.9,25.6,,0,,,29,2.4,28,3.5,23,7.5,,,,,,,,,,,
2013-8-30 21:00:00,25.9,,26.3,25.9,,0,,,26,3.8,40,3.1,40,9,,,,,,,,,,,
2013-8-30 20:00:00,26.3,,27.3,26.3,,0,,,15,2.8,38,4.4,40,9.8,,,,,,,,,,,
2013-8-30 19:00:00,27.3,,28.3,27.3,,0,,,15,3.1,39,4.6,32,11.4,,,,,,,,,,,
2013-8-30 18:00:00,28.3,,29.4,28.3,,0,,,52,7.2,51,6.3,54,9.5,,,,,,,,,,,
2013-8-30 17:00:00,29.5,,30.8,29.5,,0,,,26,3,34,3.9,63,8.3,,,,,,,,,,,
2013-8-30 16:00:00,30.1,,31,29.8,,0,,,60,2.2,42,2.4,38,8.3,,,,,,,,,,,
2013-8-30 15:00:00,31,,33,31,,0,,,18,4.3,20,3.5,52,8.5,,,,,,,,,,,
2013-8-30 14:00:00,33.1,,33.1,32.3,,0,,,60,1.6,27,3.7,52,8.6,,,,,,,,,,,
2013-8-30 13:00:00,32.8,,32.8,30.8,,0,,,341,6.1,26,4.2,32,8.2,,,,,,,,,,,
2013-8-30 12:00:00,30.8,,31.7,30.8,,0,,,26,3.5,19,3.2,54,8.7,,,,,,,,,,,
2013-8-30 11:00:00,30.8,,31.1,29.6,,0,,,66,5.9,64,3.9,60,9.7,,,,,,,,,,,
2013-8-30 10:00:00,29.6,,30.3,29,,0,,,57,2.8,48,3.9,46,8.2,,,,,,,,,,,
2013-8-30 9:00:00,29,,29.4,28.5,,0,,,57,3.8,42,5,38,9.5,,,,,,,,,,,
2013-8-30 8:00:00,28.6,,28.8,28.1,,0,,,40,3.1,41,2.8,26,6.2,,,,,,,,,,,
2013-8-30 7:00:00,28.1,,28.1,27.5,,0,,,29,1,38,2.2,26,4.1,,,,,,,,,,,
2013-8-30 6:00:00,27.5,,27.5,27.1,,0,,,29,1.2,24,1.1,353,5.1,,,,,,,,,,,
2013-8-30 5:00:00,27.2,,27.2,27,,0,,,40,1.4,19,1.7,26,3.7,,,,,,,,,,,
2013-8-30 4:00:00,27,,27.4,27,,0,,,23,1,24,0.9,38,2.4,,,,,,,,,,,
2013-8-30 3:00:00,27.4,,27.6,27.4,,0,,,128,0.7,93,1.2,40,2.7,,,,,,,,,,,
2013-8-30 2:00:00,27.4,,27.4,27.2,,0,,,344,1.2,347,1.2,9,1.9,,,,,,,,,,,
2013-8-30 1:00:00,27.2,,27.3,27,,0,,,341,0.8,345,0.5,330,1.9,,,,,,,,,,,
2013-8-30 00:00:00,27.1,,27.1,26.9,,0,,,282,0.8,288,0.8,305,1.1,,,,,,,,,,,
2013-8-29 23:00:00,27.1,,27.4,27.1,,0,,,46,0.4,36,0.6,344,2.3,,,,,,,,,,,
2013-8-29 22:00:00,27.4,,27.7,27.4,,0,,,32,0.1,17,0.3,353,1.6,,,,,,,,,,,
2013-8-29 21:00:00,27.6,,27.8,27.5,,0,,,220,0,0,0,279,2,,,,,,,,,,,
2013-8-29 20:00:00,27.7,,28,27.7,,0,,,178,0.8,180,0.8,153,2.4,,,,,,,,,,,
2013-8-29 19:00:00,28,,28.6,28,,0,,,91,0.6,109,0.6,85,4,,,,,,,,,,,
2013-8-29 18:00:00,28.5,,28.6,27.8,,0,,,63,2.1,74,1.2,184,4.5,,,,,,,,,,,
2013-8-29 17:00:00,27.9,,28,27.7,,0,,,181,1.8,183,2.2,187,4.3,,,,,,,,,,,
2013-8-29 16:00:00,28,,29.1,28,,0,,,57,0.8,59,0.8,105,5.9,,,,,,,,,,,
2013-8-29 15:00:00,29.2,,34.3,29.1,,3,,,130,3.3,123,2.5,105,5.2,,,,,,,,,,,
2013-8-29 14:00:00,34.3,,38.7,34.3,,0,,,49,0.9,31,0.9,333,3.1,,,,,,,,,,,
2013-8-29 13:00:00,38.7,,38.7,35.5,,0,,,212,0.8,283,0.7,279,3.9,,,,,,,,,,,
2013-8-29 12:00:00,35.6,,36.8,35.6,,0,,,310,1.9,300,1.3,282,4.5,,,,,,,,,,,
2013-8-29 11:00:00,36.8,,36.8,34.3,,0,,,237,2.5,222,2.7,257,5.6,,,,,,,,,,,
2013-8-29 10:00:00,34.3,,34.6,33.3,,0,,,209,2.5,224,2.4,223,5.6,,,,,,,,,,,
2013-8-29 9:00:00,33.3,,33.3,31.2,,0,,,232,3.6,221,2.6,246,6.1,,,,,,,,,,,
2013-8-29 8:00:00,31.1,,31.2,28.9,,0,,,198,3.9,209,3.1,220,5.8,,,,,,,,,,,
2013-8-29 7:00:00,28.9,,28.9,27.4,,0,,,206,3,197,2.7,198,4.1,,,,,,,,,,,
2013-8-29 6:00:00,27.4,,27.6,27.4,,0,,,206,1.2,200,1.6,187,4.2,,,,,,,,,,,
2013-8-29 5:00:00,27.6,,27.9,27.6,,0,,,156,2.5,188,2.8,187,5.1,,,,,,,,,,,
2013-8-29 4:00:00,27.8,,28,27.8,,0,,,187,3,188,3.2,187,5.3,,,,,,,,,,,
2013-8-29 3:00:00,27.9,,28,27.9,,0,,,187,1.8,192,2,195,5.1,,,,,,,,,,,
2013-8-29 2:00:00,27.9,,28.1,27.8,,0,,,178,2.5,185,3.2,173,4.8,,,,,,,,,,,
2013-8-29 1:00:00,28.1,,28.3,28.1,,0,,,184,1.9,175,2,187,5.2,,,,,,,,,,,
2013-8-29 00:00:00,28.3,,28.4,28.1,,0,,,175,2.4,176,2.3,184,5,,,,,,,,,,,
2013-8-28 23:00:00,28.4,,28.8,28.4,,0,,,184,2.7,178,2.5,187,5.7,,,,,,,,,,,
2013-8-28 22:00:00,28.8,,29.2,28.8,,0,,,184,3.1,175,3.5,164,6.1,,,,,,,,,,,
2013-8-28 21:00:00,29.2,,29.7,29.2,,0,,,175,2,168,1.9,164,6.2,,,,,,,,,,,
2013-8-28 20:00:00,29.7,,30.3,29.7,,0,,,181,2.9,161,3.1,178,5.2,,,,,,,,,,,
2013-8-28 19:00:00,30.3,,32,30.3,,0,,,164,2.6,169,2,187,5,,,,,,,,,,,
2013-8-28 18:00:00,32,,33.6,32,,0,,,195,2.2,188,3,175,6.3,,,,,,,,,,,
2013-8-28 17:00:00,33.6,,35.5,33.6,,0,,,206,4.5,206,3.1,187,6.7,,,,,,,,,,,
2013-8-28 16:00:00,35.5,,36.6,35.3,,0,,,164,4.3,201,3.3,192,5.6,,,,,,,,,,,
2013-8-28 15:00:00,35.2,,35.4,33.9,,0,,,203,4.1,193,3.5,198,6.3,,,,,,,,,,,
2013-8-28 14:00:00,35.6,,36.2,34.2,,0,,,209,4.8,188,3,218,5.9,,,,,,,,,,,
2013-8-28 13:00:00,35.4,,35.8,34,,0,,,164,2.1,190,2,209,5.2,,,,,,,,,,,
2013-8-28 12:00:00,35.1,,35.3,33.3,,0,,,243,1.6,216,2.4,206,5.8,,,,,,,,,,,
2013-8-28 11:00:00,33.4,,34,32.2,,0,,,237,2.9,225,3.2,209,4.6,,,,,,,,,,,
2013-8-28 10:00:00,32.6,,32.6,31.4,,0,,,243,1.4,208,2,189,5.4,,,,,,,,,,,
2013-8-28 9:00:00,31.6,,31.6,29.5,,0,,,198,2.1,170,1.7,198,5.1,,,,,,,,,,,
2013-8-28 8:00:00,29.7,,29.7,27.4,,0,,,164,2.2,139,3,142,4.9,,,,,,,,,,,
2013-8-28 7:00:00,27.4,,27.4,26.5,,0,,,105,1.3,118,2,116,4.3,,,,,,,,,,,
2013-8-28 6:00:00,26.5,,26.5,26.4,,0,,,116,1.2,119,2.1,122,4.9,,,,,,,,,,,
2013-8-28 5:00:00,26.4,,26.5,26.4,,0,,,128,2.1,120,2.4,142,4.9,,,,,,,,,,,
2013-8-28 4:00:00,26.5,,26.7,26.5,,0,,,130,1.3,131,2.1,119,5.2,,,,,,,,,,,
2013-8-28 3:00:00,26.7,,27,26.7,,0,,,119,2.9,109,2.1,136,4.6,,,,,,,,,,,
2013-8-28 2:00:00,27,,27,26.9,,0,,,102,1.5,136,1.2,128,5.3,,,,,,,,,,,
2013-8-28 1:00:00,27,,27.1,26.9,,0,,,113,3.4,124,3.1,128,4.9,,,,,,,,,,,
2013-8-28 00:00:00,26.9,,27.1,26.9,,0,,,150,2.4,125,1.8,105,4.8,,,,,,,,,,,
2013-8-27 23:00:00,27.1,,27.3,27,,0,,,94,2.4,124,2.7,122,4.4,,,,,,,,,,,
2013-8-27 22:00:00,27.3,,27.4,27.3,,0,,,113,3.5,123,2.4,102,5.4,,,,,,,,,,,
2013-8-27 21:00:00,27.4,,27.6,27.4,,0,,,94,2.1,109,2.2,113,5.3,,,,,,,,,,,
2013-8-27 20:00:00,27.6,,27.8,27.6,,0,,,136,4,131,2.9,133,5.9,,,,,,,,,,,
2013-8-27 19:00:00,27.8,,28.7,27.8,,0,,,94,3.3,112,2.5,119,4.9,,,,,,,,,,,
2013-8-27 18:00:00,28.7,,29.5,28.7,,0,,,116,2.1,108,1.5,122,5.1,,,,,,,,,,,
2013-8-27 17:00:00,29.3,,30.4,29.2,,0,,,119,2.3,131,2.4,119,5.7,,,,,,,,,,,
2013-8-27 16:00:00,30.2,,30.2,29.6,,0,,,136,2.3,128,3.2,113,6,,,,,,,,,,,
2013-8-27 15:00:00,30.2,,30.2,29.3,,0,,,85,1.8,112,2.1,119,6,,,,,,,,,,,
2013-8-27 14:00:00,29.8,,31,29.8,,0,,,83,2.3,95,2.6,119,7.3,,,,,,,,,,,
2013-8-27 13:00:00,30.5,,33.2,30.5,,0,,,150,4,138,3.2,80,6.9,,,,,,,,,,,
2013-8-27 12:00:00,32.9,,33.6,32,,0,,,105,2.5,104,3,80,6.4,,,,,,,,,,,
2013-8-27 11:00:00,32.7,,32.7,31.2,,0,,,105,1.6,130,2,147,5.6,,,,,,,,,,,
2013-8-27 10:00:00,31.4,,31.7,29.8,,0,,,116,3.3,92,2.6,125,5.5,,,,,,,,,,,
2013-8-27 9:00:00,30.3,,30.6,27.9,,0,,,119,1.4,87,2.8,60,5.3,,,,,,,,,,,
2013-8-27 8:00:00,27.8,,27.8,25.4,,0,,,147,4,113,3,77,5.7,,,,,,,,,,,
2013-8-27 7:00:00,25.3,,25.3,23.6,,0,,,119,1.6,96,2.6,66,4.2,,,,,,,,,,,
2013-8-27 6:00:00,23.6,,23.6,23.5,,0,,,77,0.5,68,0.8,102,2.7,,,,,,,,,,,
2013-8-27 5:00:00,23.5,,23.5,23,,0,,,68,1.8,78,1.4,97,3,,,,,,,,,,,
2013-8-27 4:00:00,23.1,,23.1,22.8,,0,,,60,0.6,70,0.6,85,2.3,,,,,,,,,,,
2013-8-27 3:00:00,23,,23.4,23,,0,,,77,1.1,81,1.1,68,2.3,,,,,,,,,,,
2013-8-27 2:00:00,23.4,,23.5,23.3,,0,,,71,1.5,68,1.1,83,2.1,,,,,,,,,,,
2013-8-27 1:00:00,23.5,,23.9,23.5,,0,,,94,0.8,78,0.8,74,1.9,,,,,,,,,,,
2013-8-27 00:00:00,23.6,,23.9,23.6,,0,,,105,1.1,87,1,85,2.2,,,,,,,,,,,
2013-8-26 23:00:00,23.9,,24.8,23.9,,0,,,130,0.6,121,0.7,83,2.2,,,,,,,,,,,
2013-8-26 22:00:00,24.8,,24.9,24.2,,0,,,161,0.5,77,1.3,116,3.8,,,,,,,,,,,
2013-8-26 21:00:00,24.2,,24.6,24.1,,0,,,102,1.8,90,1.7,85,2.8,,,,,,,,,,,
2013-8-26 20:00:00,24.1,,24.8,23.8,,0,,,68,1.1,87,1.6,119,2.6,,,,,,,,,,,
2013-8-26 19:00:00,24.8,,26.9,24.8,,0,,,83,0.6,85,0.8,74,3.7,,,,,,,,,,,
2013-8-26 18:00:00,26.9,,27.7,26.9,,0,,,60,2.2,67,1.9,68,4.6,,,,,,,,,,,
2013-8-26 17:00:00,27.5,,27.6,27.3,,0,,,113,1.4,106,1.2,105,3.6,,,,,,,,,,,
2013-8-26 16:00:00,27.6,,28.8,27.6,,0,,,77,2.4,89,2.2,60,5.1,,,,,,,,,,,
2013-8-26 15:00:00,28.8,,30,28.8,,0,,,74,1.5,89,2.7,83,7.2,,,,,,,,,,,
2013-8-26 14:00:00,29.5,,29.5,27.3,,0,,,63,1.9,73,2.2,74,5.8,,,,,,,,,,,
2013-8-26 13:00:00,27.5,,28.6,27.4,,0,,,66,1.3,95,1.5,77,4.7,,,,,,,,,,,
2013-8-26 12:00:00,27.5,,27.5,26.3,,0,,,97,2.2,82,2.2,74,3.5,,,,,,,,,,,
2013-8-26 11:00:00,27.1,,27.3,26.7,,0,,,99,1.9,109,1.4,60,3.7,,,,,,,,,,,
2013-8-26 10:00:00,26.7,,26.7,25.5,,2.9,,,83,1.3,72,1.4,57,2.1,,,,,,,,,,,
2013-8-26 9:00:00,25.9,,26.7,25.9,,1.9,,,74,0.8,84,0.8,80,2.8,,,,,,,,,,,
2013-8-26 8:00:00,26.7,,26.9,26.6,,0,,,32,1.3,63,1.1,54,3.3,,,,,,,,,,,
2013-8-26 7:00:00,26.7,,26.7,25.9,,0,,,60,2.8,74,1.9,71,3.5,,,,,,,,,,,
2013-8-26 6:00:00,25.9,,26,25.9,,0,,,60,1.3,67,1.3,43,3.5,,,,,,,,,,,
